Regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;0;0;76;0;0;0;01/08/2020;31;210147125;2707877;45392;93563;1088;1865729;748585;
Brasil;0;0;76;0;0;0;02/08/2020;32;210147125;2733677;25800;94104;541;1883677;755896;
Brasil;0;0;76;0;0;0;03/08/2020;32;210147125;2750318;16641;94665;561;1912319;743334;
Brasil;0;0;76;0;0;0;04/08/2020;32;210147125;2801921;51603;95819;1154;1970767;735335;
Brasil;0;0;76;0;0;0;05/08/2020;32;210147125;2857597;55676;97240;1421;2020637;741180;
Brasil;0;0;76;0;0;0;06/08/2020;32;210147125;2912212;54615;98493;1253;2080916;781954;
Brasil;0;0;76;0;0;0;07/08/2020;32;210147125;2962442;50230;99572;1079;2068394;794476;
Brasil;0;0;76;0;0;0;08/08/2020;32;210147125;3012412;49970;100477;905;2094293;817642;
Brasil;0;0;76;0;0;0;09/08/2020;33;210147125;3035422;23010;101049;572;2118460;815913;
Brasil;0;0;76;0;0;0;10/08/2020;33;210147125;3057470;22048;101752;703;2163812;791906;
Brasil;0;0;76;0;0;0;11/08/2020;33;210147125;3109630;52160;103026;1274;2243124;763480;
Brasil;0;0;76;0;0;0;12/08/2020;33;210147125;3164785;55155;104201;1175;2309477;751107;
Brasil;0;0;76;0;0;0;13/08/2020;33;210147125;3224876;60091;105463;1262;2356640;762773;
Brasil;0;0;76;0;0;0;14/08/2020;33;210147125;3275520;50644;106523;1060;2384302;784695;
Brasil;0;0;76;0;0;0;15/08/2020;33;210147125;3317096;41576;107232;709;2404272;805592;
Brasil;0;0;76;0;0;0;16/08/2020;34;210147125;3340197;23101;107852;620;2432456;799889;
Brasil;0;0;76;0;0;0;17/08/2020;34;210147125;3359570;19373;108536;684;2478494;772540;
Brasil;0;0;76;0;0;0;18/08/2020;34;210147125;3407354;47784;109888;1352;2554179;743287;
Brasil;0;0;76;0;0;0;19/08/2020;34;210147125;3456652;49298;111100;1212;2615254;730298;
Brasil;0;0;76;0;0;0;20/08/2020;34;210147125;3501975;45323;112304;1204;2653407;736264;
